finding_id	finding	resource	effect_order	probability_gate	positive_chain	negative_chain	domain_refs	source_refs	tags
HOE-001	Flexible resources protect across mechanisms	资金;认知;社会支持;环境;权利	2-5	P_notice;P_understand;P_access;P_adopt;P_avoid	资源可跨疾病、技术窗口和风险类型重新部署，提高发现、理解、接入、采用和避险概率。	资源优势可能把有效技术收益长期集中在优势群体，扩大主体持续性差距。	domains/c5-ecological-substrate/financial-resilience-access;domains/c3-generation-engine/health-literacy-navigation;domains/c6-local-unlocking/social-connection-relational-infra	SRC-FCT-1995;SRC-FCT-INEQUALITY-2010	effect:flexible-resource;effect:cross-mechanism;risk:distribution-shift
HOE-002	Technology benefit concentrates among early adopters	资金;数字接入;认知;医疗入口	2-4	P_diffuse;P_access;P_adopt	高资源主体更早发现、理解、支付和试用新技术，形成早期持续性收益。	新技术可能因价格、时间、交通、数字技能和照护责任门槛扩大不平等。	domains/c5-ecological-substrate/digital-inclusion-connectivity;domains/c4-conversion-channel/healthcare-access-continuity;domains/c4-conversion-channel/clinical-trials-regulatory-science-translation	SRC-IGI-LORENC;SRC-DIFFUSION-GREENHALGH	risk:distribution-shift;gate:P_diffuse;risk:intervention-generated-inequality
HOE-003	Efficiency gains can rebound	时间;AI;工作;平台	2-4	P_persist;P_recover	效率工具释放时间和认知负荷，使恢复、学习、监测和技术采用轮次增加。	释放出的时间可能被工作量、平台消费、信息噪声或行政要求重新占用。	domains/c3-generation-engine/time-allocation-effective-time;domains/c3-generation-engine/ai-resource-cost-latency-budget-continuity;domains/c6-local-unlocking/occupational-work-design	SRC-SYSTEMS-WHO	risk:rebound;effect:resource-recapture;gate:P_persist
HOE-004	Faster measurement can mislead	生物标志物;AI;健康记录;可穿戴	1-4	P_calibrate	更快观测缩短反馈周期，提高候选干预筛选速度和试验可行性。	指标可能被当成真实健康寿命终点，导致伪优化、过度检测和焦虑循环。	domains/c2-source-maintenance/biological-age-clocks-biomarker-validation;domains/c3-generation-engine/personal-health-record-emergency-summary-continuity;domains/c3-generation-engine/ai-evaluation-benchmark-validity-continuity	SRC-BEST-BIOMARKERS;SRC-GEROSCIENCE-ENDPOINTS	risk:goodhart;gate:P_calibrate;mechanism:measurement-feedback
HOE-005	Social support creates fault tolerance	社会支持;照护;社区导航	2-5	P_recover;P_persist	社会关系提供提醒、照护、情绪稳定、危机响应和转介闭环，降低策略中断风险。	支持网络也可能传播错误叙事、制造依赖、压迫主体选择或泄露隐私。	domains/c5-ecological-substrate/community-resource-navigation;domains/c6-local-unlocking/caregiving-long-term-care;domains/c4-conversion-channel/community-health-workers-peer-support	SRC-SOCIAL-MORTALITY-HOLT-LUNSTAD	effect:fault-tolerance;gate:P_persist;effect:recovery-support
HOE-006	Cognitive resources increase future readability	认知;教育;记忆;健康素养	2-5	P_understand;P_calibrate;P_adopt	认知和教育提高复杂证据、统计不确定性、监管语言和技术边界的可读性。	更强工具和认知自信可能放大过度外推、选择性证据和高风险自我实验。	domains/c3-generation-engine/cognitive-augmentation;domains/c3-generation-engine/education-access-lifelong-learning;domains/c3-generation-engine/personal-knowledge-management-cognitive-offloading	SRC-LANCET-DEMENTIA-2024	effect:future-readability;gate:P_understand;gate:P_calibrate
HOE-007	Digital tools can create new gates	AI;远程医疗;账号;网络;设备	1-4	P_access;P_diffuse	数字健康、远程医疗和 AI 工具降低服务摩擦，提高数据连续性和专家可达性。	设备、网络、账号、身份、语言、界面和信任差距会形成新的排除门槛。	domains/c5-ecological-substrate/digital-inclusion-connectivity;domains/c4-conversion-channel/telehealth-remote-monitoring-access;domains/c3-generation-engine/ai-agency-safety	SRC-DIGITAL-HEALTH-EQUITY-2024	risk:digital-gate;gate:P_access;gate:P_diffuse
HOE-008	Recovery limits resource conversion	睡眠;节律;压力;疼痛;心理健康	2-5	P_recover;P_persist	恢复能力提高注意力、情绪、代谢、执行功能和长期策略坚持率。	恢复不足会让资金、AI、医疗和学习资源无法转化为有效行动。	domains/c6-local-unlocking/sleep-circadian-recovery;domains/c6-local-unlocking/mental-health-affective-stability;domains/c2-source-maintenance/pain-suffering-control	SRC-SLEEP-MORTALITY-CAPPUCCIO	effect:conversion-rate;gate:P_persist;gate:P_recover
HOE-009	Chain completeness dominates single-resource strength	全部资源	3-5	min_probability_gate	多项资源互补时，技术发现、理解、接入、采用、恢复和纠错链路闭合。	任一关键概率门过低都会成为瓶颈，使强资源在断点前无法转化。	domains/c4-conversion-channel/administrative-burden-procedural-friction;domains/c5-ecological-substrate/community-resource-navigation;domains/c5-ecological-substrate/housing-built-environment-stability	SRC-SYSTEMS-WHO	effect:bottleneck;gate:min-probability;effect:chain-completeness
HOE-010	Negative flywheels must be symmetrical	AI;资金;注意力;社会网络	2-5	P_calibrate;P_avoid	显式记录负向链路能阻止资源增强被误写成天然收益。	更多资金、AI 或社会网络可能加速伪疗法、错误自动化、群体误导和机会成本。	domains/c6-local-unlocking/information-integrity-trust;domains/c3-generation-engine/ai-agency-safety;domains/c5-ecological-substrate/financial-resilience-access	SRC-BEST-BIOMARKERS;SRC-DIFFUSION-GREENHALGH	risk:negative-flywheel;risk:overclaim;gate:P_calibrate
